Дата,Группа аллергенов,Пыльца и споры,"Концентрация, ед/1 м3",Комментарий
26.06.12,Лиственные деревья,Липа,1,
26.06.12,Злаки,Злаки,9,
26.06.12,Сорняки,Подорожник,3,
26.06.12,Сорняки,Крапива,1,
26.06.12,Грибы,Альтернария,5,
20.06.12,Лиственные деревья,Липа,1,
20.06.12,Хвойные деревья,Сосна,1,
20.06.12,Злаки,Злаки,12,
20.06.12,Сорняки,Крапива,4,
20.06.12,Грибы,Альтернария,2,
17.06.12,Лиственные деревья,Липа,2,
17.06.12,Хвойные деревья,Сосна,1,
17.06.12,Злаки,Злаки,3,
17.06.12,Сорняки,Подорожник,3,
17.06.12,Сорняки,Крапива,1,
17.06.12,Грибы,Альтернария,5,
12.06.12,Лиственные деревья,Липа,1,
12.06.12,Злаки,Злаки,2,
12.06.12,Сорняки,Крапива,1,
12.06.12,Грибы,Альтернария,2,
08.06.12,Лиственные деревья,Липа,2,
08.06.12,Хвойные деревья,Сосна,1,
08.06.12,Злаки,Злаки,5,
08.06.12,Сорняки,Подорожник,1,
08.06.12,Грибы,Альтернария,3,
02.06.12,Хвойные деревья,Сосна,1,
02.06.12,Злаки,Злаки,3,
02.06.12,Сорняки,Подорожник,2,
02.06.12,Сорняки,Крапива,1,
02.06.12,Грибы,Альтернария,5,
02.06.12,Лиственные деревья,Ольха,3,Орех обыкновенный
30.05.12,Лиственные деревья,Липа,3,
30.05.12,Хвойные деревья,Сосна,4,
30.05.12,Злаки,Злаки,2,
30.05.12,Сорняки,Подорожник,2,
30.05.12,Грибы,Кладоспориум,7,
30.05.12,Грибы,Альтернария,5,
26.05.12,Хвойные деревья,Сосна,1,
26.05.12,Злаки,Злаки,3,
26.05.12,Сорняки,Подорожник,1,
26.05.12,Грибы,Альтернария,12,
20.05.12,Хвойные деревья,Сосна,3,
20.05.12,Злаки,Злаки,12,
20.05.12,Сорняки,Крапива,2,
20.05.12,Грибы,Альтернария,2,
20.05.12,Лиственные деревья,Ольха,1,Орех обыкновенный
15.05.12,Лиственные деревья,Береза,2,
15.05.12,Лиственные деревья,Клен,1,
15.05.12,Злаки,Злаки,9,
15.05.12,Лиственные деревья,Ольха,4,Орех обыкновенный
10.05.12,Хвойные деревья,Сосна,1,
10.05.12,Злаки,Злаки,5,
10.05.12,Грибы,Альтернария,1,
10.05.12,Лиственные деревья,Ольха,12,Орех обыкновенный
06.05.12,Лиственные деревья,Береза,2,
06.05.12,Лиственные деревья,Дуб,1,
06.05.12,Хвойные деревья,Сосна,3,
06.05.12,Злаки,Злаки,5,Начало пыления
06.05.12,Грибы,Альтернария,2,
02.05.12,Лиственные деревья,Береза,8,
02.05.12,Хвойные деревья,Сосна,3,
02.05.12,Грибы,Альтернария,1,
26.04.12,Лиственные деревья,Тополь,15,
26.04.12,Лиственные деревья,Береза,7,
26.04.12,Лиственные деревья,Клен,1,
26.04.12,Лиственные деревья,Ива,4,
26.04.12,Грибы,Альтернария,3,
25.04.12,Лиственные деревья,Тополь,15,
25.04.12,Лиственные деревья,Береза,9,
25.04.12,Лиственные деревья,Клен,5,
25.04.12,Лиственные деревья,Дуб,2,
25.04.12,Грибы,Альтернария,7,